nom_commune_adherente;code_insee_commune_adherente;zip_code;nom_commune_zip
MORETEL-DE-MAILLES;38262;;MORETEL-DE-MAILLES
Panissage;38293;;Panissage
CELLULE;63068;;CELLULE
Le Brusquet;4036;;Le Brusquet
La Condamine-Châtelard;4062;;La Condamine-Châtelard
Saint-Jurs;4184;;Saint-Jurs
Saint-Laurent-du-Verdon;4186;;Saint-Laurent-du-Verdon
Vachères;4227;;Vachères
Verdaches;4235;;Verdaches
Saint-Marcel-en-Marcillat;3244;;Saint-Marcel-en-Marcillat
Servilly;3272;;Servilly
Châtel-Montagne;3066;;Châtel-Montagne
Thionne;3284;;Thionne
Varennes-sur-Tèche;3299;;Varennes-sur-Tèche
Le Montet;3183;;Le Montet
La Chabanne;3050;;La Chabanne
Saint-Bonnet-de-Rochefort;3220;;Saint-Bonnet-de-Rochefort
Saint-Pourçain-sur-Besbre;3253;;Saint-Pourçain-sur-Besbre
ORVEAU-BELLESAUVE;45236;;ORVEAU-BELLESAUVE
NOTRE-DAME-D'ALLENCON;49227;;NOTRE-DAME-D'ALLENCON
SAINT-GEORGES-SUR-LAYON;49282;;SAINT-GEORGES-SUR-LAYON
CONTIGNE;49105;;CONTIGNE
SAINTE-GEMMES;41210;;SAINTE-GEMMES
ARGOUGES;50018;;ARGOUGES
PRECORBIN;50414;;PRECORBIN
Hérenguerville;50244;;Hérenguerville
LE MESNIL-RAINFRAY;50318;;LE MESNIL-RAINFRAY
Brucheville;50089;;Brucheville
SAINTE-CROIX-SUR-AIZIER;27526;;SAINTE-CROIX-SUR-AIZIER
TOURNY;27653;;TOURNY
LE RECULEY;14532;;LE RECULEY
SAINTE-CROIX-GRAND-TONNE;14568;;SAINTE-CROIX-GRAND-TONNE
TRUTTEMER-LE-PETIT;14718;;TRUTTEMER-LE-PETIT
SAINT-GEORGES-EN-AUGE;14580;;SAINT-GEORGES-EN-AUGE
ONDEFONTAINE;14477;;ONDEFONTAINE
SAINT-GERMAIN-D'ECTOT;14581;;SAINT-GERMAIN-D'ECTOT
FONTENAILLES;89174;;FONTENAILLES
SEYTHENEX;74270;;SEYTHENEX
Pioussay;79211;;Pioussay
Barenton-Bugny;2046;;Barenton-Bugny
Bruyères-et-Montbérault;2128;;Bruyères-et-Montbérault
Juvincourt-et-Damary;2399;;Juvincourt-et-Damary
